Name,Folder,Media,Desviacion estandar,Valor minimo,Valor maximo,Numero de bordes,Saturación de rojo,Saturacion de verde,Saturacion de azul
AOT (78).png,attackOnTitan_fotos,70.09844714506173,41.983725668028455,1.0,253.0,23600,113.20909336419753,99.44017361111112,93.88121334876543
AOT (79).png,attackOnTitan_fotos,68.82288483796296,73.37755321742588,0.0,255.0,4775,45.623823302469134,116.24674045138889,75.2136115933642
AOT (80).png,attackOnTitan_fotos,124.0078091242284,60.39691299254582,0.0,255.0,16946,103.50049527391975,84.46655671296297,150.759375
AOT (81).png,attackOnTitan_fotos,180.7785590277778,29.812042005553415,100.0,235.0,385,14.603064236111111,25.02658709490741,190.02536844135804
AOT (82).png,attackOnTitan_fotos,128.7922198109568,68.99136645265786,13.0,255.0,31430,99.79842255015433,55.37453559027778,148.14436149691358
AOT (83).png,attackOnTitan_fotos,13.562462866512346,22.786510432449866,0.0,255.0,1930,137.49636959876543,173.13426601080246,20.7447159529321
AOT (84).png,attackOnTitan_fotos,85.14027777777778,60.782382249284595,0.0,254.0,970,101.33607783564815,120.18028356481481,110.23802662037038
AOT (85).png,attackOnTitan_fotos,252.25788194444445,3.7057006089319176,221.0,255.0,28,33.12745659722222,4.231062885802469,253.67246624228395
AOT (86).png,attackOnTitan_fotos,95.13796778549383,60.017665250877606,0.0,255.0,131404,17.327570408950617,167.4163353587963,127.02278356481482
AOT (87).png,attackOnTitan_fotos,119.3749291087963,85.34130418987792,0.0,255.0,29771,67.33225790895062,78.76647810570988,134.013264371142
AOT (88).png,attackOnTitan_fotos,70.23235484182099,38.4475953186127,5.0,217.0,10512,10.475008680555556,191.11661506558642,108.71579475308643
AOT (89).png,attackOnTitan_fotos,114.16565489969136,75.9493971374708,0.0,255.0,15027,39.908660783179016,73.59866705246914,133.22182629243827
AOT (90).png,attackOnTitan_fotos,128.2447762345679,91.52654431235595,0.0,255.0,17584,86.3853375771605,63.84672357253086,144.95607108410493
AOT (91).png,attackOnTitan_fotos,146.230362654321,74.38346573735295,1.0,255.0,7404,39.68255160108025,69.06184751157407,159.72975067515432
AOT (92).png,attackOnTitan_fotos,103.02290027006173,73.6285239381181,0.0,255.0,33755,49.3708699845679,109.94525125385803,124.8811578896605
AOT (93).png,attackOnTitan_fotos,56.04629243827161,51.20787376941093,0.0,253.0,8488,109.76013599537038,186.91044897762347,97.03740306712963
AOT (94).png,attackOnTitan_fotos,145.68257233796297,50.1144886447558,4.0,254.0,12017,17.491530671296296,130.3624117476852,176.39858410493827
AOT (95).png,attackOnTitan_fotos,33.71718942901234,52.8636948233123,2.0,255.0,21113,102.05430314429013,175.91963879243826,46.183116319444444
AOT (96).png,attackOnTitan_fotos,96.13524884259259,65.75284236096057,0.0,255.0,75957,103.85511525848766,149.2186820023148,146.692862654321
AOT (97).png,attackOnTitan_fotos,137.99796055169753,62.79368030198308,0.0,255.0,37185,36.04326051311728,160.05282841435186,185.27869502314815
AOT (98).png,attackOnTitan_fotos,87.36137490354939,59.960396739680235,0.0,255.0,31531,104.27543402777778,116.63144386574075,125.66697723765432
AOT (99).png,attackOnTitan_fotos,119.03415027006173,74.62996573838454,0.0,255.0,13501,84.03972173996914,21.79692901234568,122.55416473765432
AOT (100).png,attackOnTitan_fotos,24.77759018132716,47.17776506175441,0.0,255.0,5983,138.21556954089507,78.65622106481482,26.40268856095679
deathNote (1).png,deathNote_fotos,174.62272231867286,46.88290943554424,0.0,255.0,17751,20.64774402006173,53.03633439429012,185.08598958333334
deathNote (2).png,deathNote_fotos,144.5047014853395,75.21087665035468,0.0,255.0,7414,21.178129822530863,68.68791763117284,154.04043981481482
deathNote (3).png,deathNote_fotos,114.88644579475309,52.80781000362731,0.0,235.0,5790,37.22036699459877,48.92441599151235,118.61120466820988
deathNote (4).png,deathNote_fotos,72.68510706018519,59.12617302719937,0.0,255.0,8009,109.13550588348765,173.41541666666666,129.02232494212964
deathNote (5).png,deathNote_fotos,88.61525318287038,78.25656735742051,0.0,255.0,15603,96.3718253279321,105.43579137731481,113.46814429012346
deathNote (6).png,deathNote_fotos,88.96390142746914,76.48102855302655,0.0,255.0,13958,91.67939477237654,105.06525318287038,113.50536651234569
deathNote (7).png,deathNote_fotos,99.71898292824075,75.29538199232843,0.0,255.0,11618,84.21217737268519,91.69868586033951,118.15034529320988
deathNote (8).png,deathNote_fotos,105.6456500771605,80.82662491482235,0.0,255.0,10600,102.65977671682099,82.09725646219135,128.81943769290123
deathNote (9).png,deathNote_fotos,80.43954909336419,63.03534088609467,0.0,253.0,23017,102.71041087962963,150.16982494212962,131.54592447916667
deathNote (10).png,deathNote_fotos,84.48841676311729,65.20959619599459,0.0,255.0,4545,75.99244839891975,66.35148389274691,94.83959587191359
deathNote (11).png,deathNote_fotos,101.79049189814815,84.3868968068511,0.0,255.0,8434,93.221964216821,59.26566840277778,109.54526427469136
deathNote (12).png,deathNote_fotos,65.42303192515432,70.4883120887149,0.0,255.0,22167,93.83274209104938,104.96432629243827,81.76297164351853
deathNote (13).png,deathNote_fotos,43.46026572145062,50.25554074013843,0.0,248.0,3530,70.72637345679013,139.59807773919752,50.448132716049386
deathNote (14).png,deathNote_fotos,94.70445216049383,72.63099864896647,0.0,255.0,10205,101.14210503472222,124.51376302083334,134.96064236111113
deathNote (15).png,deathNote_fotos,48.16536554783951,38.54180570434703,0.0,248.0,3053,112.33772955246914,52.28605227623457,60.13865017361111
deathNote (16).png,deathNote_fotos,16.039234664351852,13.996876080753564,0.0,155.0,0,103.28869212962964,137.3910151427469,21.990120081018517
deathNote (17).png,deathNote_fotos,21.398886477623456,22.612871527806057,0.0,230.0,1117,106.59082561728395,191.37809124228394,34.27264708719136
deathNote (18).png,deathNote_fotos,20.41183159722222,26.609349520927555,0.0,208.0,117,100.77024402006172,165.15597415123457,27.68265383873457
deathNote (19).png,deathNote_fotos,27.834094328703703,31.939604802468384,0.0,165.0,1412,99.10796440972223,157.98513744212963,34.45470100308642
deathNote (20).png,deathNote_fotos,93.0060368441358,71.93268878656093,0.0,255.0,1948,103.0876494984568,94.7980791859568,106.37198591820987
deathNote (21).png,deathNote_fotos,26.77087432484568,25.42166403090363,0.0,207.0,1100,110.47936583719137,45.02341772762346,30.067890142746915
deathNote (22).png,deathNote_fotos,107.84351514274691,65.01470810007106,0.0,255.0,3674,101.00216483410495,17.370910976080246,112.13596643518518
deathNote (23).png,deathNote_fotos,64.05784915123456,53.409820626504,0.0,240.0,3156,94.96206066743828,29.935539641203704,67.7843007330247
deathNote (24).png,deathNote_fotos,100.74809895833333,57.140526724226106,0.0,254.0,6809,25.0018537808642,57.2867293595679,107.33507957175927
deathNote (25).png,deathNote_fotos,150.68026813271607,90.12811948551906,0.0,255.0,8060,31.806376832561728,88.38568721064814,170.92766059027778
deathNote (26).png,deathNote_fotos,35.780012538580245,45.3565086905284,0.0,244.0,6071,16.66393711419753,53.35996672453704,37.973350212191356
deathNote (27).png,deathNote_fotos,48.77890142746914,68.73860302186884,0.0,255.0,35163,65.9239380787037,118.8113676697531,52.9584056712963
deathNote (28).png,deathNote_fotos,109.62407600308643,93.00995264022951,0.0,255.0,17109,39.97962143132716,95.5222800925926,126.14268325617284
deathNote (29).png,deathNote_fotos,120.13579475308643,76.40686147906698,0.0,255.0,20517,23.3334765625,151.39792486496913,167.18764081790124
deathNote (30).png,deathNote_fotos,104.53902150848765,84.68776924292835,0.0,255.0,21730,37.66562934027778,146.0436183449074,138.5244458912037
deathNote (31).png,deathNote_fotos,92.23110966435185,89.61922425016802,0.0,255.0,10649,98.1334230324074,105.35988956404321,95.19515769675927
deathNote (32).png,deathNote_fotos,88.43038580246913,88.69890251417988,0.0,255.0,10744,95.38342737268519,111.07861207561729,91.1953872492284
deathNote (33).png,deathNote_fotos,85.28207995756173,88.24573568268994,0.0,255.0,11398,93.05277826003086,114.33306761188273,87.90695505401234
deathNote (34).png,deathNote_fotos,86.24508198302469,96.1598654863155,0.0,255.0,11997,84.64904320987654,144.32780430169754,95.68410252700617
deathNote (35).png,deathNote_fotos,39.42767361111111,50.620109611651685,0.0,143.0,17384,99.29980999228395,181.59902391975308,60.91147472993827
deathNote (36).png,deathNote_fotos,57.15642312885802,60.55461420072323,0.0,253.0,34095,113.91789303626544,171.23271846064816,88.90072530864198
deathNote (37).png,deathNote_fotos,18.476860050154322,45.14673513898195,0.0,237.0,40255,131.75396219135803,181.50555893132716,19.542531346450616
deathNote (38).png,deathNote_fotos,33.78179832175926,61.031600551064365,0.0,255.0,77315,120.19032262731481,91.48644386574074,34.94769483024692
deathNote (39).png,deathNote_fotos,6.699623360339507,30.965656302240923,0.0,217.0,10539,143.3016121720679,230.81221739969138,7.720666473765433
deathNote (40).png,deathNote_fotos,148.2419738618827,54.551210662477395,0.0,255.0,5837,150.47278018904322,109.01235194830247,201.32458333333335
deathNote (41).png,deathNote_fotos,56.15698302469136,75.80795876500697,0.0,255.0,15514,141.56504436728395,181.77940345293212,77.11082609953704
deathNote (42).png,deathNote_fotos,117.42880787037038,42.34529250603212,0.0,251.0,2282,13.910710358796297,238.17507282021606,193.76072916666666
deathNote (43).png,deathNote_fotos,108.7025819830247,49.08605323698664,0.0,252.0,2672,11.271301601080248,233.0840128279321,187.321953125
deathNote (44).png,deathNote_fotos,109.66041087962964,71.66213244986317,0.0,255.0,40227,108.63173418209877,139.74625578703703,163.02921296296296
deathNote (45).png,deathNote_fotos,118.77381799768519,73.91721708280063,0.0,251.0,47722,67.960597029321,155.63160300925927,148.52775173611113
deathNote (46).png,deathNote_fotos,39.90269820601852,28.033339000840453,0.0,196.0,1484,95.9536897183642,201.73915750385802,76.98579716435185
deathNote (47).png,deathNote_fotos,96.74959104938272,64.04339368670215,0.0,247.0,12894,30.21381317515432,145.07118200231483,127.21949025848765
deathNote (48).png,deathNote_fotos,102.2255999228395,67.42645058256046,0.0,242.0,69372,39.238648244598764,131.58591724537038,129.61902777777777
deathNote (49).png,deathNote_fotos,68.54280285493827,59.05418042272855,0.0,235.0,8159,128.36363136574073,105.4047304205247,91.64103057484569
deathNote (50).png,deathNote_fotos,120.69061101466049,56.157755858116296,0.0,253.0,6117,137.74216579861113,133.22881655092593,192.47127893518518
deathNote (51).png,deathNote_fotos,96.61586709104938,62.88200584979582,0.0,219.0,7390,76.32973476080247,85.40665943287037,115.92483024691359
deathNote (52).png,deathNote_fotos,180.66190297067902,70.79998350125793,0.0,255.0,6431,57.56161651234568,59.863049286265436,194.2928655478395
deathNote (53).png,deathNote_fotos,72.1910122492284,60.08063060703771,0.0,255.0,8109,109.00114101080247,173.6535797646605,128.39600260416668
deathNote (54).png,deathNote_fotos,71.80923418209876,70.77037067680915,0.0,255.0,12043,24.308015528549383,100.80827932098765,83.5549040316358
deathNote (55).png,deathNote_fotos,94.1399430941358,45.18566258491185,0.0,247.0,7684,13.334771894290125,112.65375868055555,118.89063271604938
deathNote (56).png,deathNote_fotos,44.3813565779321,36.205962911103335,0.0,178.0,2502,45.434406346450615,81.75998022762346,48.64729552469136
deathNote (57).png,deathNote_fotos,51.24488811728395,35.82347043295693,0.0,255.0,4005,28.537101176697533,76.13212432484568,53.28061246141976
deathNote (58).png,deathNote_fotos,84.10392602237654,48.374329311345086,0.0,255.0,2965,79.63652199074075,51.20199749228395,90.44604986496914
deathNote (59).png,deathNote_fotos,99.98234953703704,60.84668805559277,0.0,255.0,7798,83.63827305169754,56.29543209876543,108.18001109182099
deathNote (60).png,deathNote_fotos,67.85678192515432,45.414227681100634,0.0,230.0,5583,72.73789689429013,58.20050347222222,73.52114920910493
deathNote (61).png,deathNote_fotos,244.17315441743827,22.49974326185568,0.0,255.0,8317,21.682049575617285,4.008534915123457,245.9639380787037
