Archivo,Name,Folder,Media,Desviacion estandar,Valor minimo,Valor maximo,Numero de bordes
81,Evangel (81).png,Evangelion,43.226459297839504,41.9593287372052,0.0,252.0,48593
82,Evangel (82).png,Evangelion,105.3122907021605,79.66913143766054,0.0,231.0,35213
83,Evangel (83).png,Evangelion,172.27316792052468,44.45159818452361,10.0,251.0,3680
84,Evangel (84).png,Evangelion,91.5242221257716,67.56062086742786,0.0,246.0,12468
85,Evangel (85).png,Evangelion,58.16934076003086,29.588032130741663,1.0,213.0,18376
86,Evangel (86).png,Evangelion,81.6967717978395,91.80175514277906,0.0,245.0,27569
87,Evangel (87).png,Evangelion,33.74524932484568,49.78217317437144,0.0,240.0,40264
88,Evangel (88).png,Evangelion,32.86368875385803,47.694282177662316,0.0,199.0,91186
89,Evangel (89).png,Evangelion,102.50875144675926,63.212780250455886,2.0,232.0,9738
90,Evangel (90).png,Evangelion,25.200473572530864,38.928604637656726,0.0,254.0,23321
91,Evangel (91).png,Evangelion,115.69154224537037,62.26571142983105,1.0,216.0,9523
92,Evangel (92).png,Evangelion,3.345090663580247,14.759677100302907,0.0,194.0,8745
93,Evangel (93).png,Evangelion,100.74887924382716,67.01042904639219,3.0,223.0,114325
94,Evangel (94).png,Evangelion,74.80835503472223,78.06635710852473,0.0,251.0,2019
95,Evangel (95).png,Evangelion,76.37215422453704,82.00817887486147,0.0,246.0,91976
96,Evangel (96).png,Evangelion,107.02706548996913,64.3750039254595,0.0,235.0,14594
